,T7,F8,Cz,P4
2000,164.16290283203125,153.9268035888672,317.3267822265625,-212.5684356689453
2001,154.0689239501953,157.8312530517578,307.4085693359375,-211.3828887939453
2002,162.9212646484375,163.97216796875,322.0390319824219,-210.1898498535156
2003,158.17906188964844,162.55474853515625,331.16815185546875,-203.9180450439453
2004,158.40345764160156,163.82632446289062,326.67279052734375,-203.89935302734372
2005,169.653076171875,167.01644897460938,316.3244934082031,-196.30734252929688
2006,162.71182250976562,167.09498596191406,326.4371643066406,-197.552734375
2007,169.22299194335938,163.22793579101562,332.9221496582031,-196.7187347412109
2008,173.49021911621094,160.8531036376953,330.43511962890625,-198.24087524414062
2009,146.63026428222656,167.35304260253906,319.7614440917969,-204.0526885986328
2010,164.38729858398438,173.87356567382812,322.5028076171875,-197.2086639404297
2011,165.0717010498047,170.1785430908203,330.2892761230469,-195.71270751953125
2012,157.6255645751953,160.35008239746094,320.4981994628906,-205.1933441162109
2013,148.126220703125,154.72900390625,308.6651611328125,-213.245361328125
2014,162.61459350585938,164.30316162109375,316.7395935058594,-201.1467742919922
2015,155.04129028320312,164.92398071289062,323.52752685546875,-203.94049072265625
2016,156.97482299804688,164.46771240234375,319.1705322265625,-207.22412109375
2017,155.82293701171875,156.82334899902344,311.7056884765625,-205.81044006347656
2018,159.96299743652344,161.19903564453125,318.5235290527344,-211.6970367431641
2019,166.1824493408203,164.34429931640625,323.2096252441406,-205.3878326416016
2020,151.4248046875,161.57676696777344,313.4410095214844,-211.91021728515625
2021,154.48779296875,163.5514373779297,309.5739440917969,-206.3639373779297
2022,163.9759063720703,165.81407165527344,313.2876892089844,-206.4649200439453
2023,147.9915771484375,166.3040008544922,323.6696472167969,-199.1795959472656
2024,154.92909240722656,157.58628845214844,319.5146179199219,-199.38902282714844
2025,155.239501953125,155.85472106933594,307.08319091796875,-204.28082275390625
2026,165.30731201171875,164.74072265625,322.6374206542969,-194.52716064453125
2027,158.91209411621094,159.75169372558594,323.86785888671875,-198.0314483642578
2028,160.63992309570312,162.1153106689453,321.9978942871094,-192.66842651367188
2029,158.02572631835938,167.96826171875,313.1418151855469,-196.00067138671875
2030,163.4261474609375,172.56085205078125,319.95965576171875,-196.09043884277344
2031,165.2923583984375,171.6221466064453,326.3997802734375,-203.98536682128903
2032,164.96324157714844,170.48147583007812,328.86810302734375,-205.7730407714844
2033,172.22613525390625,181.2261962890625,328.3407897949219,-204.06390380859372
2034,171.014404296875,170.0775604248047,327.00189208984375,-208.5405578613281
2035,169.3202362060547,168.80599975585938,331.6580810546875,-211.1584930419922
2036,176.06326293945312,166.3862762451172,322.8094787597656,-212.4786834716797
2037,167.69711303710938,166.17311096191406,315.3446350097656,-207.6953430175781
2038,157.93223571777344,167.31002807617188,325.4797668457031,-202.2724914550781
2039,165.5017852783203,168.56289672851562,333.83843994140625,-196.43077087402344
2040,171.75115966796875,166.0571746826172,323.9052429199219,-197.1114196777344
2041,163.51589965820312,169.5390167236328,317.9251403808594,-203.71983337402344
2042,163.27655029296875,165.89634704589844,316.7283935546875,-201.69281005859372
2043,167.98509216308594,162.02182006835938,329.4739685058594,-195.87725830078125
2044,166.32083129882812,167.75881958007812,326.16790771484375,-191.5389709472656
2045,159.80966186523438,168.0542755126953,318.0822448730469,-196.3335266113281
2046,157.0608367919922,171.80165100097656,325.173095703125,-196.4868621826172
2047,163.9684295654297,166.15814208984375,334.56024169921875,-196.0493011474609
2048,159.1514434814453,168.71249389648438,327.0093688964844,-201.31881713867188
2049,160.755859375,169.905517578125,315.41943359375,-203.7946319580078
2050,186.17970275878903,174.52430725097656,319.7689208984375,-200.07716369628903
2051,137.04115295410156,164.24705505371094,320.7712097167969,-207.2428131103516
2052,151.75392150878906,165.19699096679688,313.93841552734375,-204.7782287597656
2053,161.9788055419922,172.18685913085938,305.8490295410156,-208.04689025878903
2054,160.8343963623047,174.7786102294922,311.6346435546875,-205.5523834228516
2055,165.52049255371094,168.2300567626953,321.9380798339844,-207.44851684570312
2056,166.57888793945312,168.9331512451172,325.73406982421875,-209.7186279296875
2057,169.7877197265625,168.7162322998047,314.985595703125,-215.1190490722656
2058,153.5453338623047,172.3850860595703,317.708251953125,-211.91769409179688
2059,164.3162384033203,176.3194580078125,327.2861328125,-203.17755126953125
2060,159.2262420654297,167.77752685546875,319.7502136230469,-201.5394744873047
2061,155.06373596191406,167.80369567871094,312.85760498046875,-199.86773681640625
2062,168.58346557617188,167.22775268554688,318.14581298828125,-200.8475799560547
2063,152.21018981933594,157.4927978515625,321.7660217285156,-193.03868103027344
2064,146.14407348632812,164.46397399902344,316.6835021972656,-195.9857177734375
