,T7,F8,Cz,P4
1600,416.6846923828125,-1241.242919921875,439.6028137207031,486.3889465332031
1601,419.4410095214844,-1235.707763671875,437.7814636230469,474.9411010742188
1602,414.1976623535156,-1240.0086669921875,439.3372802734375,489.0928955078125
1603,411.3890075683594,-1248.4908447265625,437.8712158203125,490.90673828125
1604,410.6447448730469,-1243.9056396484375,431.0496520996094,475.87982177734375
1605,416.65478515625,-1240.6893310546875,449.7379150390625,492.8739318847656
1606,412.5932312011719,-1237.5628662109375,442.28057861328125,488.73760986328125
1607,400.7489929199219,-1258.1510009765625,428.3195190429688,486.9200134277344
1608,408.9543151855469,-1238.3126220703125,437.7178955078125,479.2625732421875
1609,412.75030517578125,-1231.3115234375,443.67181396484375,485.4109802246094
1610,410.97760009765625,-1239.55810546875,428.24847412109375,482.3330383300781
1611,406.4373779296875,-1246.686279296875,426.3037109375,480.55657958984375
1612,400.9210205078125,-1238.8026123046875,433.7610778808594,480.9717102050781
1613,424.1869201660156,-1232.55322265625,442.07861328125,485.4371337890625
1614,398.32177734375,-1242.6060791015625,433.8882446289063,482.53497314453125
1615,415.9030456542969,-1252.7598876953125,427.4481201171875,479.0007629394531
1616,396.5528259277344,-1239.288818359375,438.0657043457031,478.8212585449219
1617,427.7099304199219,-1233.3311767578125,445.2687377929688,491.8809814453125
1618,416.87542724609375,-1240.87451171875,436.2144470214844,481.68975830078125
1619,408.27740478515625,-1249.1171875,429.3255615234375,473.8397216796875
1620,406.7590026855469,-1237.751708984375,439.61029052734375,483.14459228515625
1621,429.4003601074219,-1230.967529296875,449.2405090332031,482.6883239746094
1622,403.3968200683594,-1243.5447998046875,440.4966430664063,480.33966064453125
1623,410.8280029296875,-1247.0751953125,436.3603210449219,477.29913330078125
1624,414.1827087402344,-1240.231201171875,444.2066040039063,492.1764526367188
1625,422.12249755859375,-1227.59033203125,446.2261657714844,488.35052490234375
1626,409.7359619140625,-1243.0736083984375,428.6486206054688,473.3984069824219
1627,392.09112548828125,-1235.3319091796875,426.0045166015625,478.6006164550781
1628,397.4765625,-1231.3638916015625,432.8186340332031,472.6167602539063
1629,414.0555419921875,-1234.314697265625,451.33111572265625,490.2391662597656
1630,403.0228271484375,-1245.8336181640625,435.30938720703125,477.8077392578125
1631,390.04913330078125,-1241.1624755859375,428.24847412109375,483.1258850097656
1632,404.42529296875,-1240.01806640625,432.94952392578125,485.42218017578125
1633,408.93560791015625,-1234.138916015625,448.1185607910156,494.0987548828125
1634,404.683349609375,-1240.9530029296875,441.01275634765625,484.3563232421875
1635,408.6813049316406,-1241.297119140625,438.61920166015625,486.9667663574219
1636,402.7872314453125,-1242.953857421875,446.9068298339844,492.8720703125
1637,418.1058654785156,-1221.8271484375,457.3000183105469,492.5691223144531
1638,403.29583740234375,-1237.2542724609375,447.1499328613281,487.88677978515625
1639,410.55499267578125,-1244.4349365234375,432.6129150390625,475.35064697265625
1640,415.3158874511719,-1242.3966064453125,438.3760986328125,479.3785095214844
1641,421.57647705078125,-1225.8475341796875,452.3521118164063,486.0093383789063
1642,420.8995666503906,-1233.05810546875,437.4523620605469,479.0494079589844
1643,391.795654296875,-1250.8712158203125,432.3885192871094,480.0591735839844
1644,395.4196166992188,-1238.376220703125,439.0193786621094,480.8931579589844
1645,405.6669616699219,-1226.6591796875,441.139892578125,484.2553405761719
1646,401.3623352050781,-1243.0174560546875,433.4768371582031,486.839599609375
1647,388.3399963378906,-1239.9432373046875,428.8206787109375,477.27294921875
1648,392.2257385253906,-1229.254638671875,438.4845581054688,487.9615783691406
1649,412.1407165527344,-1235.2347412109375,437.5645446777344,484.6517639160156
1650,397.1586608886719,-1236.816650390625,433.4057922363281,484.128173828125
1651,385.7108459472656,-1247.3856201171875,432.3885192871094,478.2415771484375
1652,404.5861206054688,-1236.2294921875,429.4190673828125,475.9490051269531
1653,416.0751037597656,-1226.4908447265625,441.92901611328125,478.9521484375
1654,402.8059387207031,-1231.9921875,432.7288513183594,476.5399169921875
1655,400.21417236328125,-1238.45849609375,430.4250793457031,474.8681945800781
1656,425.4622497558594,-1230.877685546875,440.4255676269531,487.2659606933594
1657,414.706298828125,-1229.9166259765625,447.770751953125,485.9083862304688
1658,409.9715881347656,-1235.7769775390625,446.49542236328125,487.696044921875
1659,399.78033447265625,-1240.384521484375,438.18536376953125,486.1888732910156
1660,396.4331359863281,-1236.4351806640625,444.82745361328125,494.8018493652344
1661,415.3121643066406,-1226.146728515625,449.5546875,493.8818359375
1662,401.3398742675781,-1235.171142578125,441.4316101074219,490.1082763671875
1663,399.1146545410156,-1250.18310546875,442.0823669433594,488.9002990722656
1664,394.16302490234375,-1243.107177734375,446.1364135742188,486.9405822753906
1665,405.5472717285156,-1232.063232421875,453.533935546875,493.38818359375
1666,398.67333984375,-1230.6832275390625,441.9626770019531,487.531494140625
1667,399.9710693359375,-1231.6781005859375,436.7006530761719,480.9754333496094
1668,408.4868469238281,-1223.4989013671875,442.63958740234375,483.8514404296875
1669,419.0184020996094,-1211.5162353515625,453.8031921386719,493.78460693359375
1670,401.2950134277344,-1222.6387939453125,444.3898620605469,479.91705322265625
1671,399.91497802734375,-1230.7655029296875,431.995849609375,473.3497924804688
1672,418.0572509765625,-1219.616943359375,447.7258605957031,484.5283508300781
1673,405.0797729492188,-1211.134765625,445.8484191894531,480.5640563964844
1674,410.1884765625,-1222.5489501953125,445.3360595703125,481.2334899902344
1675,400.0197143554688,-1223.2109375,440.9828186035156,485.6203918457031
1676,395.9619140625,-1214.9345703125,449.06475830078125,489.2144470214844
1677,413.37115478515625,-1211.1048583984375,456.34259033203125,488.39166259765625
1678,385.8080749511719,-1212.754150390625,450.1530456542969,491.428466796875
1679,384.6487121582031,-1212.952392578125,453.017822265625,499.0915222167969
1680,395.2475891113281,-1214.6951904296875,446.7796630859375,497.44970703125
1681,398.3703918457031,-1211.108642578125,452.7672424316406,490.9534912109375
1682,410.7532043457031,-1218.5211181640625,446.5515441894531,495.677001953125
1683,401.1304626464844,-1221.097900390625,438.9371032714844,487.344482421875
1684,405.1919860839844,-1219.9049072265625,439.1802062988281,486.81341552734375
1685,413.5955505371094,-1207.3612060546875,444.14678955078125,487.6474304199219
1686,404.7955627441406,-1211.908935546875,436.16583251953125,477.508544921875
